symbol,name,sector,price,pe,pb,div_yield,roe,debt,profit_margin,yoy,eps_growth,market,last_updated
MS,Morgan Stanley,Financial Services,188.82000732421875,17.087784,2.933491,2.12,0.0,455.747,24.753,16.3,31.900000000000002,USA,2026-04-19 13:14:13
WMT,Walmart Inc.,Consumer Defensive,127.5,46.703297,10.199183,0.0,21.847,64.443,3.0700000000000003,5.6000000000000005,-19.0,USA,2026-04-19 13:14:13
CVX,Chevron Corporation,Energy,183.99000549316406,27.793053,1.9541183,3.87,7.231,24.323,6.6610000000000005,-8.200000000000001,-23.799999999999997,USA,2026-04-19 13:14:13
XOM,Exxon Mobil Corporation,Energy,146.44000244140625,21.824142,2.35931,2.81,11.0810004,18.936,8.9049995,-1.3,-11.0,USA,2026-04-19 13:14:13
KO,Coca-Cola Company (The),Consumer Defensive,75.73999786376953,24.914473,10.128376,2.72,43.323,139.793,27.339999999999996,2.4,3.5999999999999996,USA,2026-04-19 13:14:13
PEP,"Pepsico, Inc.",Consumer Defensive,157.6699981689453,24.751963,10.562031,3.61,43.879002,244.837,9.149000000000001,8.5,27.800000000000004,USA,2026-04-19 13:14:13
T,AT&T Inc.,Communication Services,26.510000228881836,8.720395,1.6878899,4.19,18.805,124.179,17.471999999999998,3.5999999999999996,-5.6000000000000005,USA,2026-04-19 13:14:13
VZ,Verizon Communications Inc.,Communication Services,46.54999923706055,11.465517,1.8792894,6.08,17.069000000000003,174.78,12.4280006,2.0,-53.300000000000004,USA,2026-04-19 13:14:13
MRK,"Merck & Company, Inc.",Healthcare,119.06999969482422,16.355768,5.601186,2.86,36.882,95.959,28.077999999999996,5.0,-19.3,USA,2026-04-19 13:14:13
PFE,"Pfizer, Inc.",Healthcare,27.559999465942383,20.264706,1.8120849,6.24,8.886,77.957,12.4180004,-1.2,0.0,USA,2026-04-19 13:14:13
ABBV,AbbVie Inc.,Healthcare,208.3800048828125,87.55462,-112.63784,3.32,100.0,68400001024.0,6.909999999999999,10.0,0.0,USA,2026-04-19 13:14:13
LLY,Eli Lilly and Company,Healthcare,927.030029296875,40.323185,31.260496,0.0,100.0,165.31,31.667,42.6,51.4,USA,2026-04-19 13:14:13
UNH,UnitedHealth Group Incorporated,Healthcare,324.6300048828125,24.518883,3.1252286,2.72,12.537999999999998,81.618,2.694,12.3,-99.9,USA,2026-04-19 13:14:13
ISRG,"Intuitive Surgical, Inc.",Healthcare,469.2099914550781,59.544415,9.34793,0.0,16.690001,0.953,28.375998000000003,18.8,16.6,USA,2026-04-19 13:14:13
BDX,"Becton, Dickinson and Company",Healthcare,158.5399932861328,25.905228,1.7855815,2.65,6.959999999999999,77.284,8.014000000000001,1.6,28.599999999999998,USA,2026-04-19 13:14:13
